PlayerID,Name,Country,Position,Club,Season,Salary
1,Arthur Williams,England,Central Midfield,Olympique Marseille,2023,1417001
2,Ben Brown,Portugal,Right Winger,West Ham United,2022,11145934
3,Arthur Rossi,Brazil,Centre-Forward,FC Porto,2023,14460405
4,Kai Williams,Spain,Left Winger,AC Milan,2024,12539668
5,Florian Silva,Germany,Left Winger,Real Sociedad,2022,2662179
6,Arthur Schmidt,Germany,Goalkeeper,Leicester City,2022,1510161
7,Hugo Muller,Brazil,Goalkeeper,FC Barcelona,2023,18674712
8,Enzo Bakker,Netherlands,Left-Back,Olympique Marseille,2024,4635455
9,Diogo Bakker,France,Centre-Forward,Chelsea FC,2022,32183965
10,Diogo Dubois,Brazil,Left-Back,Everton FC,2022,4763864
11,Enzo Fernandez,Argentina,Attacking Midfield,AC Milan,2023,20168850
12,Enzo Silva,France,Centre-Forward,RB Leipzig,2024,13298599
13,Hugo Bakker,Spain,Centre-Back,Aston Villa,2022,7854013
14,Florian Muller,Brazil,Central Midfield,Ajax Amsterdam,2023,4262084
15,Liam Williams,Argentina,Defensive Midfield,RB Leipzig,2023,16979354
16,Mateo Williams,Wales,Left Winger,Bayer 04 Leverkusen,2022,12006452
17,Liam Garcia,Germany,Goalkeeper,Everton FC,2023,5359226
18,Florian Bakker,Germany,Centre-Back,AS Roma,2023,8408039
19,Sven Fernandez,Spain,Centre-Forward,Borussia Dortmund,2022,9844530
20,Antonio Muller,Spain,Centre-Back,AS Roma,2022,9040720
21,Leo Santos,Uruguay,Central Midfield,FC Porto,2024,2764697
22,Kai Bakker,Uruguay,Centre-Back,Olympique Lyon,2022,8270631
23,Enzo Muller,Portugal,Left-Back,Tottenham Hotspur,2022,5871232
24,Florian Fernandez,Brazil,Central Midfield,Chelsea FC,2022,17378612
25,Sven Schmidt,Portugal,Centre-Forward,Olympique Marseille,2024,7867943
26,Leo Dubois,Netherlands,Central Midfield,Inter Milan,2022,18223606
27,Leo Brown,Italy,Right Winger,Bayern Munich,2022,36897576
28,Antonio Jones,France,Central Midfield,Olympique Lyon,2022,6916508
29,Antonio Schmidt,Brazil,Centre-Forward,FC Barcelona,2024,31854760
30,Liam Costa,Germany,Left-Back,Real Madrid,2024,36742435
31,Sven Costa,England,Centre-Forward,Ajax Amsterdam,2023,7273136
32,Javier Rossi,Brazil,Goalkeeper,Crystal Palace,2023,1795054
33,Hugo Williams,Brazil,Attacking Midfield,AS Roma,2024,11833172
34,Liam Dubois,Spain,Left Winger,Olympique Lyon,2023,8883307
35,Liam Bakker,Netherlands,Right Winger,Everton FC,2022,3263237
36,Enzo Bakker,Germany,Right-Back,Tottenham Hotspur,2023,8811418
37,Leo Santos,Brazil,Goalkeeper,AS Roma,2022,4219374
38,Liam Dubois,Brazil,Right Winger,Atlético de Madrid,2023,32163735
39,Diogo Bakker,Netherlands,Defensive Midfield,Villarreal CF,2022,1505147
40,Diogo Fernandez,Belgium,Centre-Forward,FC Porto,2022,7703505
41,Javier Schmidt,Germany,Centre-Forward,Real Sociedad,2024,2137530
42,Diogo Costa,Brazil,Defensive Midfield,RB Leipzig,2023,15830145
43,Florian Dubois,Germany,Goalkeeper,Inter Milan,2024,21299593
44,Antonio Silva,Germany,Goalkeeper,Olympique Lyon,2024,5243347
45,Ben Dubois,Germany,Centre-Back,Liverpool FC,2023,37334359
46,Florian Williams,Argentina,Centre-Back,Chelsea FC,2022,12473794
47,Leo Brown,Netherlands,Attacking Midfield,SSC Napoli,2023,22071958
48,Diogo Muller,France,Defensive Midfield,Man United,2023,39860881
49,Enzo Rossi,France,Central Midfield,Ajax Amsterdam,2023,7818818
50,Owen Schmidt,Belgium,Central Midfield,Man United,2022,50184278
51,Kai Muller,Germany,Centre-Back,Ajax Amsterdam,2023,3441267
52,Mateo Garcia,Spain,Centre-Back,FC Barcelona,2022,23408243
53,Hugo Silva,Senegal,Goalkeeper,Real Sociedad,2024,3301887
54,Javier Dubois,Senegal,Centre-Forward,SL Benfica,2022,8369144
55,Hugo Muller,Germany,Right-Back,Everton FC,2022,2532360
56,Ben Bakker,France,Left Winger,Crystal Palace,2024,9040069
57,Javier Bakker,Spain,Right Winger,Olympique Marseille,2024,7512991
58,Hugo Muller,England,Left Winger,RB Leipzig,2024,17784832
59,Leo Bakker,England,Centre-Forward,Real Sociedad,2022,1214690
60,Diogo Bakker,England,Centre-Back,AC Milan,2024,10387816
61,Florian Jones,France,Right Winger,RB Leipzig,2024,19107348
62,Hugo Jones,Belgium,Right Winger,AC Milan,2023,13687809
63,Diogo Santos,Brazil,Left-Back,SL Benfica,2024,12567696
64,Javier Silva,Wales,Left Winger,Arsenal FC,2023,31666476
65,Owen Jones,Brazil,Centre-Forward,Man United,2024,26643166
66,Enzo Jones,Germany,Central Midfield,Real Madrid,2023,25182816
67,Sven Dubois,Germany,Goalkeeper,Sevilla FC,2024,19182122
68,Mateo Silva,France,Defensive Midfield,Leicester City,2024,4444321
69,Florian Schmidt,Portugal,Goalkeeper,SSC Napoli,2022,15241315
70,Hugo Schmidt,Spain,Right Winger,Man United,2023,36344810
71,Enzo Schmidt,Spain,Right Winger,Juventus FC,2024,25342055
72,Kai Bakker,Brazil,Left Winger,AS Roma,2024,6049966
73,Liam Bakker,Portugal,Left-Back,FC Barcelona,2023,14883008
74,Arthur Dubois,Uruguay,Attacking Midfield,Liverpool FC,2023,28572051
75,Diogo Brown,Spain,Centre-Forward,AS Roma,2024,10231586
76,Enzo Muller,France,Goalkeeper,Inter Milan,2024,13400393
77,Mateo Fernandez,Brazil,Left-Back,AC Milan,2024,6361896
78,Javier Schmidt,Italy,Centre-Forward,Chelsea FC,2022,15948109
79,Mateo Brown,Brazil,Centre-Forward,Olympique Marseille,2022,8737630
80,Ben Fernandez,France,Goalkeeper,Crystal Palace,2022,1849020
81,Leo Bakker,Portugal,Centre-Forward,Crystal Palace,2024,7955679
82,Ben Costa,France,Centre-Back,Leicester City,2023,1121564
83,Diogo Brown,Spain,Defensive Midfield,Man United,2023,29103852
84,Owen Silva,Netherlands,Left-Back,Bayern Munich,2022,16328677
85,Sven Brown,England,Centre-Forward,Olympique Lyon,2022,3239724
86,Ben Rossi,Germany,Right-Back,SL Benfica,2022,4496834
87,Mateo Silva,Portugal,Attacking Midfield,Sevilla FC,2024,7301061
88,Owen Schmidt,England,Central Midfield,Paris Saint-Germain,2024,19848595
89,Antonio Fernandez,Portugal,Attacking Midfield,Chelsea FC,2022,29799459
90,Hugo Silva,Portugal,Central Midfield,Aston Villa,2022,5278747
91,Diogo Rossi,France,Attacking Midfield,SSC Napoli,2024,15585484
92,Leo Muller,Argentina,Goalkeeper,Man City,2022,49511587
93,Enzo Williams,Germany,Central Midfield,FC Porto,2024,7312794
94,Javier Muller,Germany,Centre-Forward,West Ham United,2023,6804161
95,Sven Rossi,Germany,Left Winger,Liverpool FC,2022,47068155
96,Enzo Dubois,Wales,Right-Back,RB Leipzig,2023,11053050
97,Liam Jones,England,Right Winger,Juventus FC,2022,34811934
98,Javier Muller,Spain,Centre-Back,Juventus FC,2023,23829405
99,Antonio Silva,France,Left Winger,Bayern Munich,2024,34267331
100,Hugo Muller,Croatia,Centre-Back,Olympique Lyon,2024,570693
101,Hugo Dubois,France,Goalkeeper,FC Porto,2023,2356327
102,Leo Garcia,France,Attacking Midfield,Sevilla FC,2023,12262769
103,Owen Dubois,England,Centre-Forward,Arsenal FC,2023,36291818
104,Hugo Rossi,Spain,Attacking Midfield,Real Sociedad,2023,5040279
105,Ben Bakker,France,Centre-Forward,Atlético de Madrid,2024,29376773
106,Florian Schmidt,Germany,Left-Back,Tottenham Hotspur,2024,13568424
107,Sven Muller,France,Left-Back,Chelsea FC,2022,17377899
108,Liam Santos,France,Left Winger,Liverpool FC,2023,60442714
109,Hugo Bakker,Italy,Goalkeeper,Real Sociedad,2023,6934535
110,Florian Garcia,Germany,Defensive Midfield,Sevilla FC,2022,9984637
111,Javier Muller,Brazil,Goalkeeper,Arsenal FC,2022,25594058
112,Florian Garcia,Brazil,Left-Back,RB Leipzig,2023,9634155
113,Kai Costa,Brazil,Right Winger,Aston Villa,2024,12383114
114,Owen Bakker,Germany,Defensive Midfield,Real Madrid,2022,46489583
115,Hugo Santos,Belgium,Left-Back,Bayern Munich,2024,48304850
116,Diogo Bakker,Germany,Centre-Forward,SL Benfica,2022,9554357
117,Florian Costa,Colombia,Right Winger,Chelsea FC,2022,14610144
118,Enzo Bakker,Germany,Right-Back,AS Roma,2023,8239325
119,Antonio Silva,Brazil,Defensive Midfield,AS Roma,2023,5064501
120,Leo Muller,France,Left Winger,Crystal Palace,2022,5426835
121,Leo Costa,Italy,Left Winger,Atlético de Madrid,2022,19793956
122,Antonio Jones,Portugal,Right-Back,AS Roma,2022,12879489
